"","Code","Yield","High"
"20","ss601100",0.807578486120857,0.807578486120857
"23","sz002607",0.452243213516638,0.452243213516638
"232","ss600809",0.279984183087487,0.279984183087487
"82","sz002202",0.0736979088892979,0.0736979088892979
"237","ss600637",0.0366029206189997,0.0366452860209852
"67","sz300015",0.0338762761680595,0.0338762761680595
"165","ss600276",0.0244140029624607,0.0244140029624607
"115","sz002032",0.0186603763117434,0.0186603763117434
"55","sz002371",0.0145612113373803,0.0145612113373803
"29","sz002558",0.0144717998933825,0.0144717998933825
"6","sz002714",0.0144544867605452,0.0144544867605452
"144","ss600583",0.0138535297338855,0.0142328933742668
"62","sz002311",0.0135508358545731,0.0135508358545731
"40","sz300122",0.0134331092222562,0.0134331092222562
"12","ss601012",0.0128679770604003,0.0128679770604003
"185","sz000858",0.0128014981012314,0.0128014981012314
"35","sz300142",0.0126043166442211,0.0126043166442211
"147","ss600519",0.0122754839957517,0.0122754839957517
"43","sz002475",0.0122032251201598,0.0122032251201598
"136","ss600436",0.0115703633405611,0.0115703633405611
"218","sz000596",0.0115442585754142,0.0115442585754142
"10","sz300347",0.0113571342705889,0.0113571342705889
"53","sz002410",0.0111140016906048,0.0111140016906048
"186","sz000876",0.0110393803358781,0.0110393803358781
"110","ss600048",0.0106692267632835,0.0106692267632835
"42","ss601018",0.009738941468872,0.0103846771570075
"5","ss603288",0.00969056167619997,0.0111347163601758
"97","ss601328",0.0096838519544229,0.0100153266959406
"120","sz002007",0.00917275280215102,0.00917275280215102
"142","ss600036",0.00890146470270459,0.00890146470270459
"169","ss600299",0.00821236961741434,0.0137720931782115
"122","ss600438",0.00820905147042339,0.00820905147042339
"168","ss600233",0.00817881172639146,0.00831322109097576
"73","sz002271",0.0078193282585366,0.0078193282585366
"92","sz002153",0.00764201879625226,0.0112038144372142
"68","ss601888",0.00663702754791151,0.00663702754791151
"57","sz002352",0.00591511241583587,0.00591511241583587
"44","sz002468",0.00540338165257226,0.0058477341785399
"193","ss600118",0.00500142180199092,0.00635141654381877
"94","sz002142",0.00463319165442355,0.00463319165442355
"227","ss600867",0.00437789105429665,0.00494300046602136
"72","ss601727",0.00405862311645544,0.00922578680662678
"199","ss600089",0.00368865557226039,0.00555015246176338
"112","sz002050",0.00365972714523344,0.00935082073734206
"181","ss600183",0.00352103742482734,0.00515026022307019
"225","ss600887",0.0031969289352245,0.00329970854292427
"205","ss600061",0.00275435430636661,0.00281921194779167
"25","sz002602",0.00274031069038227,0.00274031069038227
"197","sz000768",0.00269446210027735,0.00455369427835794
"178","sz000895",0.00263291215059525,0.00263291215059525
"79","ss601899",0.00261973295417128,0.00423807692606726
"222","ss600703",0.00247717447708351,0.00284637446557778
"153","ss600383",0.00228291717872531,0.00624522953117035
"210","sz000708",0.00217613754824719,0.00848269596415929
"117","sz002024",0.00198985433048304,0.00198985433048304
"229","ss600848",0.00189819050097007,0.00356285403891166
"2","sz300408",0.00175847769172166,0.00736624800656527
"187","ss600009",0.00169612018100684,0.00169612018100684
"203","sz000786",0.0016847032157945,0.0016847032157945
"83","ss601601",0.00167752921557618,0.00167752921557618
"235","ss600674",0.00165036652762773,0.0016833615574432
"133","ss600029",0.00156715948122077,0.0036146568627029
"231","ss600837",0.00153303492715429,0.00437243712525315
"234","ss600690",0.00145575316930313,0.00558768699875056
"81","ss601898",0.00142150198630642,0.00373834809568452
"173","ss600221",0.00134559961862069,0.00940175261232845
"202","sz000625",0.00133185351494247,0.00202777901052298
"200","sz000728",0.00132355395166495,0.00444643166073222
"164","ss600297",0.0013222664210637,0.00365807954455977
"15","ss601231",0.00130662190565722,0.00222072592082445
"134","ss600271",0.00122437797261754,0.00245203799263738
"51","sz002422",0.00110469634461952,0.00279838309816149
"1","sz002736",0.00109468762909715,0.00404286042958191
"151","ss600372",0.00105186794080514,0.00199908750664157
"184","ss600170",0.00104534186598659,0.0011822061822051
"70","ss601788",0.000999294745132051,0.00298245142803633
"107","ss600018",0.000951308760411163,0.00136841908734397
"19","sz002624",0.000888507288848706,0.00185305531435653
"236","ss600660",0.000868671224675044,0.00169526316540036
"182","ss600196",0.000834727648607814,0.00196327464856005
"221","ss600741",0.00080973531373707,0.00324214115446009
"217","ss600760",0.00078876737212985,0.00078876737212985
"91","sz002157",0.000732547215025026,0.000732547215025026
"180","sz000860",0.000704049067077328,0.00298588152742063
"209","sz000703",0.000701917385026007,0.000701917385026007
"190","ss600115",0.000692004753132469,0.0014536614512628
"125","ss600570",0.000689723957695954,0.000689723957695954
"71","ss601668",0.00063574039377956,0.000762512550157579
"128","ss600015",0.000630832472660714,0.00243361693992195
"208","sz000709",0.000617313150132359,0.002571093311317
"63","ss600999",0.000614584039525523,0.00233107044681713
"59","ss601117",0.000582831505500758,0.000623023441597814
"146","ss600011",0.000507887926727957,0.00514816280348018
"145","ss600362",0.000507320767326958,0.000513407577604985
"46","sz002463",0.000495291797460329,0.00173416672217486
"163","ss600019",0.000441778320080521,0.00157904897270855
"216","sz000627",0.000389156759173392,0.000389156759173392
"49","sz002456",0.000375513768590574,0.000375513768590574
"172","ss600219",0.000361606969000894,0.00120590144117849
"108","ss601111",0.000344442212977025,0.000344442212977025
"90","ss601169",0.000334766768898431,0.00206840933526875
"89","ss601939",0.000327409649541588,0.000685489784485904
