"","Code","Yield","High"
"109","ss601006",0.0231732388532364,0.03411620260271
"6","sz002714",0.017853051411129,0.017853051411129
"147","ss600519",0.017758895560259,0.017758895560259
"185","sz000858",0.0168984206702443,0.0168984206702443
"136","ss600436",0.0167805960584433,0.0167805960584433
"212","sz000661",0.016366570824055,0.016366570824055
"35","sz300142",0.0163093129366838,0.0163093129366838
"228","sz000568",0.0153838559402293,0.0153838559402293
"186","sz000876",0.0144249891598409,0.0144249891598409
"180","sz000860",0.014349665676934,0.014349665676934
"115","sz002032",0.0143139236894716,0.0143139236894716
"20","ss601100",0.014253295787457,0.014253295787457
"62","sz002311",0.0140366096830971,0.0140366096830971
"5","ss603288",0.0136976681531387,0.0136976681531387
"67","sz300015",0.0131290106464881,0.0131290106464881
"152","ss600588",0.0130855043053271,0.0130855043053271
"103","ss601318",0.0118828113879401,0.0118828113879401
"43","sz002475",0.011784657894246,0.0140991823346259
"46","sz002463",0.0108061136971984,0.0108061136971984
"68","ss601888",0.0103361669757698,0.0103361669757698
"61","ss601989",0.00869323648676978,0.00869386134167716
"189","sz000063",0.00728999764142069,0.0104545569997849
"94","sz002142",0.00668682972758239,0.00668682972758239
"47","ss601818",0.00653744900652908,0.00653744900652908
"42","ss601018",0.00620368627061518,0.00781706268147597
"165","ss600276",0.00595724973749379,0.0120390488299387
"80","ss601186",0.00586848147546903,0.0120987132798418
"240","sz000001",0.00576911695920423,0.00771191335325661
"238","ss600655",0.00548623144424276,0.00896597437427782
"146","ss600011",0.0054528112991481,0.00619288476161617
"196","sz000066",0.00481515586886538,0.00481515586886538
"131","ss600489",0.00480905643638052,0.0103211242070174
"225","ss600887",0.00421771755136824,0.00421771755136824
"187","ss600009",0.00417046071269933,0.00417046071269933
"71","ss601668",0.0038127257476499,0.00731884987002185
"142","ss600036",0.0037901950077539,0.00524759695799482
"44","sz002468",0.00363301696611984,0.00524824711803618
"182","ss600196",0.00349241325032845,0.00680310165251674
"128","ss600015",0.00341785201343869,0.00410826019641242
"221","ss600741",0.00300242127812367,0.00456407063182129
"79","ss601899",0.00284270162017686,0.00807584851337895
"100","ss601998",0.00283057053478974,0.00502195641262237
"230","ss601607",0.00236138738730962,0.0035821753775882
"101","sz002129",0.00219545241975361,0.00645043208976048
"164","ss600297",0.00218806971707175,0.0026623079160204
"14","ss601800",0.00201969513014144,0.00575020608828725
"88","ss601808",0.00200963315391078,0.0031653557834852
"2","sz300408",0.00199048397347568,0.0024680628636411
"31","ss601216",0.00193029379241993,0.00383635258319948
"234","ss600690",0.00183736007952429,0.00298046642938821
"202","sz000625",0.00175419876500826,0.00278516732592027
"154","ss600010",0.00167517468061784,0.00271352857054818
"117","sz002024",0.00164867705258165,0.00164867705258165
"90","ss601169",0.00162862291409405,0.00276897384439234
"215","sz000651",0.0015786444075867,0.00280434675302565
"188","ss600104",0.00156352290750683,0.00249387628395881
"17","ss601336",0.00155631428126446,0.00262034536201727
"198","ss600085",0.0015315558738036,0.00325797967647889
"137","ss600004",0.00151142849389796,0.00444980856966448
"195","sz000783",0.00149983216473992,0.00352995157577629
"92","sz002153",0.00149223166179135,0.00941253664900699
"145","ss600362",0.0014132549563195,0.00166868339782389
"229","ss600848",0.00136764965689218,0.00385297252317374
"173","ss600221",0.00131776903837322,0.00587688831805111
"194","ss600109",0.00129849242804081,0.00129849242804081
"172","ss600219",0.00126527249486452,0.00271206646215272
"114","ss600027",0.0012212594329033,0.00167298590642861
"150","ss600028",0.00116757950576685,0.00188975986491857
"59","ss601117",0.00115828438402676,0.00115828438402676
"13","ss601238",0.001137716765091,0.00199194206230779
"174","ss600000",0.00112452136862395,0.00178567056108681
"63","ss600999",0.00100091284027171,0.00207135493061528
"16","ss601360",0.000960575690452714,0.0018772967149796
"48","sz002460",0.000917995089280144,0.00274242904074384
"123","sz000100",0.000816811584615662,0.00118837086744916
"211","ss600795",0.000779484826717303,0.0015181475623236
"30","ss601992",0.000750900096332607,0.000750900096332607
"33","sz300144",0.000708417038543407,0.00117305352083585
"169","ss600299",0.000644318541550559,0.00194862599716172
"209","sz000703",0.000614299036347132,0.000614299036347132
"178","sz000895",0.000607257889257085,0.000607257889257085
"132","ss600352",0.000606370768211351,0.00262271252985968
"190","ss600115",0.000565546602097955,0.00172526723950761
"193","ss600118",0.000515103629171731,0.00258763338408041
