code,abbr,name,listed
600031.ss,ss600031,三一重工,2003-07-03
600436.ss,ss600436,片仔癀,2003-06-16
600004.ss,ss600004,白云机场,2003-04-28
600030.ss,ss600030,中信证券,2003-01-06
600522.ss,ss600522,中天科技,2002-10-24
600050.ss,ss600050,中国联通,2002-10-09
600516.ss,ss600516,方大炭素,2002-08-30
600036.ss,ss600036,招商银行,2002-04-09
600585.ss,ss600585,海螺水泥,2002-02-07
600583.ss,ss600583,海油工程,2002-02-05
600362.ss,ss600362,江西铜业,2002-01-11
600011.ss,ss600011,华能国际,2001-12-06
600519.ss,ss600519,贵州茅台,2001-08-27
600498.ss,ss600498,烽火通信,2001-08-23
600346.ss,ss600346,恒力石化,2001-08-20
600028.ss,ss600028,中国石化,2001-08-08
600372.ss,ss600372,中航电子,2001-07-06
600588.ss,ss600588,用友网络,2001-05-18
600383.ss,ss600383,金地集团,2001-04-12
600010.ss,ss600010,包钢股份,2001-03-09
600332.ss,ss600332,白云山,2001-02-06
600390.ss,ss600390,五矿资本,2001-01-15
000725.sz,sz000725,京东方A,2001-01-12
600369.ss,ss600369,西南证券,2001-01-09
600309.ss,ss600309,万华化学,2001-01-05
600398.ss,ss600398,海澜之家,2000-12-28
600016.ss,ss600016,民生银行,2000-12-19
600038.ss,ss600038,中直股份,2000-12-18
600019.ss,ss600019,宝钢股份,2000-12-12
600297.ss,ss600297,广汇汽车,2000-11-16
600276.ss,ss600276,恒瑞医药,2000-10-18
000157.sz,sz000157,中联重科,2000-10-12
000977.sz,sz000977,浪潮信息,2000-06-08
600233.ss,ss600233,圆通速递,2000-06-08
600299.ss,ss600299,安迪苏,2000-04-20
000961.sz,sz000961,中南建设,2000-03-01
000963.sz,sz000963,华东医药,2000-01-27
600219.ss,ss600219,南山铝业,1999-12-23
600221.ss,ss600221,海航控股,1999-11-25
600000.ss,ss600000,浦发银行,1999-11-10
000938.sz,sz000938,紫光股份,1999-11-04
600208.ss,ss600208,新湖中宝,1999-06-23
600176.ss,ss600176,中国巨石,1999-04-22
000895.sz,sz000895,双汇发展,1998-12-10
600177.ss,ss600177,雅戈尔,1998-11-19
000860.sz,sz000860,顺鑫农业,1998-11-04
600183.ss,ss600183,生益科技,1998-10-28
600196.ss,ss600196,复星医药,1998-08-07
600188.ss,ss600188,兖州煤业,1998-07-01
600170.ss,ss600170,上海建工,1998-06-23
000858.sz,sz000858,五粮液,1998-04-27
000876.sz,sz000876,新希望,1998-03-11
600009.ss,ss600009,上海机场,1998-02-18
600104.ss,ss600104,上汽集团,1997-11-25
000063.sz,sz000063,中兴通讯,1997-11-18
600115.ss,ss600115,东方航空,1997-11-05
600111.ss,ss600111,北方稀土,1997-09-24
000069.sz,sz000069,华侨城A,1997-09-10
600118.ss,ss600118,中国卫星,1997-09-08
600109.ss,ss600109,国金证券,1997-08-07
000783.sz,sz000783,长江证券,1997-07-31
000066.sz,sz000066,中国长城,1997-06-26
000768.sz,sz000768,中航飞机,1997-06-26
600085.ss,ss600085,同仁堂,1997-06-25
600089.ss,ss600089,特变电工,1997-06-18
000728.sz,sz000728,国元证券,1997-06-16
000776.sz,sz000776,广发证券,1997-06-11
000625.sz,sz000625,长安汽车,1997-06-10
000786.sz,sz000786,北新建材,1997-06-06
600068.ss,ss600068,葛洲坝,1997-05-26
600061.ss,ss600061,国投资本,1997-05-19
000723.sz,sz000723,美锦能源,1997-05-15
600066.ss,ss600066,宇通客车,1997-05-08
000709.sz,sz000709,河钢股份,1997-04-16
000703.sz,sz000703,恒逸石化,1997-03-28
000708.sz,sz000708,中信特钢,1997-03-26
600795.ss,ss600795,国电电力,1997-03-18
000661.sz,sz000661,长春高新,1996-12-18
000671.sz,sz000671,阳光城,1996-12-18
000656.sz,sz000656,金科股份,1996-11-28
000651.sz,sz000651,格力电器,1996-11-18
000627.sz,sz000627,天茂集团,1996-11-12
600760.ss,ss600760,中航沈飞,1996-10-11
000596.sz,sz000596,古井贡酒,1996-09-27
000425.sz,sz000425,徐工机械,1996-08-28
600745.ss,ss600745,闻泰科技,1996-08-28
600741.ss,ss600741,华域汽车,1996-08-26
600703.ss,ss600703,三安光电,1996-05-28
600705.ss,ss600705,中航资本,1996-05-16
600893.ss,ss600893,航发动力,1996-04-08
600887.ss,ss600887,伊利股份,1996-03-12
600886.ss,ss600886,国投电力,1996-01-18
600867.ss,ss600867,通化东宝,1994-08-24
000568.sz,sz000568,泸州老窖,1994-05-09
600848.ss,ss600848,上海临港,1994-03-24
601607.ss,ss601607,上海医药,1994-03-24
600837.ss,ss600837,海通证券,1994-02-24
600809.ss,ss600809,山西汾酒,1994-01-06
000538.sz,sz000538,云南白药,1993-12-15
600690.ss,ss600690,海尔智家,1993-11-19
600674.ss,ss600674,川投能源,1993-09-24
600660.ss,ss600660,福耀玻璃,1993-06-10
600637.ss,ss600637,东方明珠,1993-03-16
600655.ss,ss600655,豫园股份,1992-09-02
600606.ss,ss600606,绿地控股,1992-03-27
000001.sz,sz000001,平安银行,1991-04-03
000002.sz,sz000002,万科A,1991-01-29
