"","Code","Yield","High"
"190","ss600115",0.140156341229935,0.140156341229935
"117","sz002024",0.104021735428442,0.104021735428442
"133","ss600029",0.103551551516626,0.103551551516626
"183","ss600188",0.0947287207454488,0.0947287207454488
"43","sz002475",0.0936091777736539,0.0936091777736539
"169","ss600299",0.0817680743706135,0.0817680743706135
"216","sz000627",0.0809984167741682,0.0809984167741682
"124","ss600340",0.0699801415673733,0.0699801415673733
"192","sz000069",0.0620805998116236,0.0620805998116236
"97","ss601328",0.0573585827630538,0.0573585827630538
"198","ss600085",0.0525999074162102,0.0525999074162102
"181","ss600183",0.0481691155055521,0.0625759995797861
"44","sz002468",0.0478657384244021,0.0478657384244021
"144","ss600583",0.0473937207082464,0.050927513652816
"162","ss600038",0.0415072386530142,0.0415072386530142
"82","sz002202",0.041112026830358,0.041112026830358
"145","ss600362",0.0389291015546873,0.0389291015546873
"128","ss600015",0.0284881378286657,0.0284881378286657
"17","ss601336",0.0276522947425539,0.0276522947425539
"55","sz002371",0.0268152468620322,0.0456204869756394
"174","ss600000",0.0264486284854231,0.0264486284854231
"46","sz002463",0.0244454291480809,0.0403160324645511
"161","ss600016",0.0242945879430962,0.024643113095121
"93","sz002146",0.0224523327062434,0.0228800005886962
"220","ss600745",0.0224262625743321,0.0379484244703585
"172","ss600219",0.021428214075822,0.0237778167619276
"201","sz000776",0.017110608422803,0.0196564896197993
"123","sz000100",0.0168628322392843,0.0255792128213095
"111","ss601988",0.0167397262752784,0.0167397262752784
"87","ss601088",0.0152693172116327,0.0152693172116327
"83","ss601601",0.0150410319641929,0.0168022112830861
"222","ss600703",0.0145176679181958,0.016948148781027
"187","ss600009",0.0117352627342422,0.017484166329554
"57","sz002352",0.0110919621015115,0.0117357776962448
"84","ss601390",0.0110196702876417,0.0194119117387501
"211","ss600795",0.0109086264654339,0.0148982951611096
"68","ss601888",0.010730951115711,0.0191961838559211
"107","ss600018",0.0102088924691797,0.0124933811596322
"229","ss600848",0.00980527861959102,0.0110789120155277
"56","ss601688",0.00948606397078566,0.00948606397078566
"235","ss600674",0.00936419138298072,0.0138526057375603
"146","ss600011",0.00926900394768859,0.0143398343705601
"109","ss601006",0.00903689968316845,0.0124134986185334
"23","sz002607",0.00852368771422873,0.0097721407610547
