"","Code","Yield","High"
"175","sz000938",0.0988930339513183,0.0988930339513183
"190","ss600115",0.0979406993874929,0.0979406993874929
"216","sz000627",0.0979057919535209,0.0979057919535209
"183","ss600188",0.0887113564360129,0.0887113564360129
"153","ss600383",0.0877282794500251,0.0881697424855972
"117","sz002024",0.0606515292915082,0.0606515292915082
"145","ss600362",0.0511739320331568,0.0511739320331568
"100","ss601998",0.0504756493458367,0.0504756493458367
"162","ss600038",0.0500863703137568,0.0500863703137568
"219","sz000425",0.0496777082987834,0.0496777082987834
"128","ss600015",0.0463257191973603,0.0463257191973603
"14","ss601800",0.0435937509931688,0.0435937509931688
"213","sz000671",0.0418122007587078,0.0424633434219692
"124","ss600340",0.0335473091666831,0.0335473091666831
"79","ss601899",0.0327732956397973,0.0327732956397973
"93","sz002146",0.0326433878401517,0.0326433878401517
"140","ss600050",0.0253110874364564,0.0253110874364564
"163","ss600019",0.0248891326694185,0.0264211539945358
"101","sz002129",0.0225315726737083,0.0305511142314943
"167","sz000977",0.0206408163508338,0.0367017959206069
"88","ss601808",0.0196983777298816,0.0196983777298816
"54","sz300059",0.0195271744746948,0.0277633266218018
"97","ss601328",0.0193883122693583,0.0193883122693583
"47","ss601818",0.0184231519585367,0.0184231519585367
"194","ss600109",0.0178287703677322,0.0205354435541498
"198","ss600085",0.0178124593448443,0.0178124593448443
"2","sz300408",0.0173897330141104,0.019253695652022
"186","sz000876",0.0160476310307658,0.0199921984975067
"237","ss600637",0.0142195488121326,0.0255321568055356
"178","sz000895",0.0137196242587601,0.0137196242587601
"112","sz002050",0.0130713325510472,0.0290841934352948
"144","ss600583",0.012165984555339,0.0186114309742984
"72","ss601727",0.0117387285507728,0.0203064072375372
"224","ss600893",0.0112375534072693,0.0153799360227542
"143","ss600585",0.0110792485510833,0.0133468809175536
"122","ss600438",0.0107570988918848,0.0164537506046956
"95","ss601009",0.0102415262260915,0.0102415262260915
"87","ss601088",0.0096450812990172,0.0096450812990172
"55","sz002371",0.00895886007929159,0.0156379999648368
"44","sz002468",0.00869533560086966,0.0101778187274679
"104","ss601166",0.00865666638113449,0.00925842714399261
"169","ss600299",0.00802369824077664,0.0300056545099461
"205","ss600061",0.00801323856519165,0.0120778004006143
"92","sz002153",0.00796949388039314,0.0104788053795484
"202","sz000625",0.0077331541067871,0.0120199547947184
"226","ss600886",0.00770594518313694,0.0111603281358867
"121","sz002008",0.00757487154618208,0.0107038613607755
"236","ss600660",0.00755398738305502,0.00755398738305502
"96","ss601919",0.0070008471388272,0.0125010571611368
"235","ss600674",0.00679752219953511,0.0074977090634829
"61","ss601989",0.00668813703925863,0.0151238283556736
"229","ss600848",0.00640108226570213,0.0135221666333591
"20","ss601100",0.0062108312070952,0.00672546662393603
"200","sz000728",0.00620464966400913,0.012577485061871
"108","ss601111",0.00616700446627783,0.0140703169007454
"156","ss600390",0.00613862419903421,0.0062232770837729
"154","ss600010",0.0059057584515978,0.0170106484142125
"173","ss600221",0.00575754610346957,0.0100224803328579
"138","ss600030",0.00571217220856979,0.00736104345074673
"159","ss600309",0.00528287579068776,0.00909885107616137
"25","sz002602",0.00522385547758097,0.00802681136059924
"147","ss600519",0.00472609979512262,0.00621079767326282
"209","sz000703",0.00467324165388816,0.00508634936683694
"19","sz002624",0.00462251214279807,0.00981447007456215
"37","sz002493",0.00460950927584758,0.00482776285487518
"134","ss600271",0.00455958932123557,0.021118407920643
"142","ss600036",0.00451760339574769,0.00948625624270094
"15","ss601231",0.00441569186957214,0.00919873189307419
"152","ss600588",0.00417216588276581,0.0110772076063794
"42","ss601018",0.00360686425612,0.00592114959027912
"210","sz000708",0.00351396476868926,0.00362721116857379
"68","ss601888",0.00333550520466841,0.00819497194701224
"168","ss600233",0.0032091703567243,0.00398031424687795
"184","ss600170",0.00318885796471791,0.00461713664776475
"46","sz002463",0.00313999783770935,0.0135250048796307
"107","ss600018",0.00305890500144113,0.00481192691331356
"133","ss600029",0.00302698931602285,0.00774296614976766
"192","sz000069",0.00301451005958553,0.0202903383940527
"105","ss601628",0.00296659543377564,0.00530850993572818
"50","ss601288",0.00295560970821063,0.00594198977336347
"218","sz000596",0.00287695725460568,0.00636372747076486
"1","sz002736",0.00287190945367488,0.00795678452709181
"98","sz000338",0.00281508153159038,0.0042702617139263
"181","ss600183",0.00273158071563739,0.00515366094793035
"151","ss600372",0.00262121595769882,0.00427078216837895
"135","ss600031",0.00252220262281755,0.00341766419933376
"99","ss601600",0.00249468379853668,0.00321143612703034
"130","ss600487",0.00248604893476934,0.0104977152152557
"191","ss600111",0.00232271748522916,0.00452683953263988
"36","sz300136",0.0023216318501087,0.00525731646577321
"157","sz000725",0.00223149094803765,0.00580138822437326
"136","ss600436",0.00220142341306362,0.0046879111080409
"137","ss600004",0.00214816481368851,0.00369353505993608
"73","sz002271",0.00211284325469729,0.0041340379902246
"84","ss601390",0.00210074020952566,0.00706237978909297
"28","sz002555",0.00209312748361867,0.0063763187702286
"33","sz300144",0.00209287880424247,0.00209287880424247
"85","ss601857",0.00204007634544512,0.00296970018693687
"208","sz000709",0.00202522283104711,0.0111887241138642
"195","sz000783",0.00197510291633796,0.00819461663682652
"164","ss600297",0.00196874546479764,0.00478648875541632
"27","sz002594",0.00193704997838684,0.00217032560901309
"111","ss601988",0.00192991441934898,0.00622014008934757
"63","ss600999",0.00190845852481036,0.00622351377364505
"75","sz002252",0.00184617205421644,0.00184617205421644
"123","sz000100",0.00177041811457879,0.00353959761829059
"170","sz000961",0.00176920981178741,0.00639905090122261
"70","ss601788",0.00174187026536043,0.00833002615444589
"39","ss601377",0.00160965113650691,0.0102978635167594
"69","ss601618",0.00160752786128859,0.00443345241438631
"56","ss601688",0.00153433900411115,0.00361034663877557
"158","ss600369",0.00151426233544827,0.0114969676392347
"6","sz002714",0.00151015013473854,0.0046813262874843
"18","ss601555",0.00149449205200258,0.00630801220381061
"76","sz002241",0.00145641029723653,0.00369925973878749
"49","sz002456",0.00141152948602441,0.00299280278583303
"201","sz000776",0.00128572859886988,0.00566150306538837
"203","sz000786",0.00112712332093756,0.00544731217088934
"66","sz300014",0.00110477144389631,0.00288038476887609
"81","ss601898",0.00107631138400222,0.00129174842721791
"31","ss601216",0.00103025735354567,0.00258742940327283
"166","sz000157",0.000954736025207126,0.00607255354692726
"221","ss600741",0.000951735858813363,0.00259491729956252
"231","ss600837",0.000943164966712429,0.00641138930045315
"234","ss600690",0.000883211886375745,0.00282565339997154
"59","ss601117",0.000878514599508495,0.00322237911064605
"161","ss600016",0.000857503720355313,0.00170825942850028
"9","ss603993",0.000850799169532124,0.0016336177265055
