"","Code","Yield","High"
"190","ss600115",0.161703463001683,0.161703463001683
"133","ss600029",0.151059070921058,0.151059070921058
"124","ss600340",0.119216131663399,0.119216131663399
"44","sz002468",0.118749355531863,0.118749355531863
"117","sz002024",0.110701036065171,0.110701036065171
"183","ss600188",0.0964613739769915,0.0964613739769915
"216","sz000627",0.0843122587340857,0.0843122587340857
"145","ss600362",0.0817588055598346,0.0817588055598346
"198","ss600085",0.0786295056939184,0.0786295056939184
"93","sz002146",0.0702787171624184,0.0702787171624184
"192","sz000069",0.0668987083738941,0.0668987083738941
"15","ss601231",0.0651594911657791,0.0651594911657791
"82","sz002202",0.0578323970330219,0.0578323970330219
"17","ss601336",0.0573505716278624,0.0573505716278624
"134","ss600271",0.0549345854410324,0.0549345854410324
"97","ss601328",0.0546576970561328,0.0546576970561328
"169","ss600299",0.0525134277636199,0.0525134277636199
"174","ss600000",0.0451257471763598,0.0451257471763598
"128","ss600015",0.0440715707149413,0.0440715707149413
"47","ss601818",0.0383683426910668,0.0383683426910668
"223","ss600705",0.0373968687339263,0.0381230699917754
"68","ss601888",0.0367942369943055,0.0395484291884147
"201","sz000776",0.0300712045047618,0.0300712045047618
"56","ss601688",0.0300602600373829,0.0300602600373829
"172","ss600219",0.0291231185241614,0.0291231185241614
"162","ss600038",0.0285472592593266,0.0291820255222672
"144","ss600583",0.0273990874262715,0.0273990874262715
"218","sz000596",0.0272789135160323,0.0282054618982812
"59","ss601117",0.0271123976791305,0.0271123976791305
"229","ss600848",0.023198296985061,0.024205521158571
"111","ss601988",0.0198855920287895,0.0198855920287895
"42","ss601018",0.0168162950950439,0.0291521527015468
"104","ss601166",0.015556827783028,0.0194605728804547
"188","ss600104",0.0148507721788713,0.0163582939731792
"161","ss600016",0.0142280510504522,0.0155604555753166
"230","ss601607",0.014126934560116,0.0148971124740103
"2","sz300408",0.0135659790442748,0.0136277591561145
"123","sz000100",0.0123440872446838,0.0143017364391371
"89","ss601939",0.0120796513306021,0.0149677977606559
"152","ss600588",0.0117001865788491,0.0149178314310501
"6","sz002714",0.0110585206877931,0.0222334229896746
"3","ss603019",0.0109501191457535,0.013927023868614
"125","ss600570",0.0108577960720335,0.0162390287806529
"235","ss600674",0.0107973799086196,0.0107973799086196
"203","sz000786",0.0102837306628338,0.0139492327624706
"121","sz002008",0.00986568627675966,0.0203319637831252
"88","ss601808",0.00740359353675402,0.0155907720340844
"149","ss600346",0.00732711863547419,0.0164213234573261
"95","ss601009",0.00726713079691232,0.00815441628027269
"96","ss601919",0.00724482203835741,0.00975715689079282
"40","sz300122",0.00704212225067802,0.00950484062835399
"49","sz002456",0.00659992811255594,0.014234098025113
"64","sz002304",0.00659896363556123,0.0105879027959088
"168","ss600233",0.00659103896300151,0.00758090106368936
"94","sz002142",0.00599190959022988,0.00675049509621917
"52","sz002415",0.00565125115206766,0.00838700966257622
"185","sz000858",0.0053490742258262,0.00773258596445237
"118","ss600482",0.00519971198257529,0.00920170791345964
"113","sz002044",0.00519388969244128,0.00852630272170596
"92","sz002153",0.00488542798264113,0.0111679468905159
"205","ss600061",0.00486976538633499,0.00486976538633499
"236","ss600660",0.00485540148375563,0.00556016666526715
"112","sz002050",0.00485210035341721,0.0131562240233329
"30","ss601992",0.00456341759543522,0.00850517134045203
"187","ss600009",0.00451037565312595,0.00798169180192687
"129","ss600547",0.00447831825763689,0.0047817773619192
"13","ss601238",0.00447109028800252,0.0131962759305491
"209","sz000703",0.00442154231453928,0.00442154231453928
"28","sz002555",0.00436833481409193,0.00908245997248769
"158","ss600369",0.00425308522204659,0.0059626592543931
"151","ss600372",0.00412510568015834,0.0157956003001227
"208","sz000709",0.00379881861754772,0.007288824827824
"38","ss600998",0.00376713583740007,0.00676863259291438
"19","sz002624",0.00374626245410803,0.00954006421445852
"4","ss603369",0.00365524217653568,0.00532246295742844
"1","sz002736",0.00362818762220485,0.00519972685990711
"65","sz300003",0.00361224783301273,0.0225750921217656
"20","ss601100",0.00349393251187857,0.00373749424328196
"61","ss601989",0.00338498812737953,0.00360153494760751
"212","sz000661",0.00337753344828862,0.00423408857399754
"110","ss600048",0.00334173927959491,0.00476329860237312
"37","sz002493",0.00323892710684115,0.00745947949262815
"23","sz002607",0.00306894831302018,0.00441460375309277
"85","ss601857",0.00306332281299948,0.0102537697498801
"222","ss600703",0.00303966462404714,0.00983361268082072
"34","sz002508",0.00288081186037159,0.00640386549302208
"210","sz000708",0.00275715098915996,0.00395027887681865
"79","ss601899",0.00270029300906383,0.0037439797484935
"90","ss601169",0.00264250617007056,0.00288088326443936
"226","ss600886",0.00236230843679319,0.00236230843679319
"200","sz000728",0.00233828999843277,0.00579252550750087
"7","ss601225",0.00214863982035141,0.0039372942535858
"39","ss601377",0.00185994868515538,0.00504021085989725
"10","sz300347",0.00179381053259142,0.0193735181399606
"195","sz000783",0.00168305417239512,0.00290929375443372
"14","ss601800",0.00167115765626824,0.00320658074742686
"196","sz000066",0.00163375876183469,0.00634680515445951
"57","sz002352",0.00153415590149941,0.00188858168254624
"221","ss600741",0.00152264243190303,0.00304032357537043
"155","ss600332",0.00147580423867333,0.0115829630870787
"116","sz002027",0.00137866332892855,0.00733609260173163
"150","ss600028",0.00137726163670782,0.00519600211108839
"171","sz000963",0.00133195786261875,0.010994127720005
"63","ss600999",0.00130671210568556,0.00246381832036091
"231","ss600837",0.00125144786669562,0.00351336908861599
"165","ss600276",0.00124568648201295,0.00654243153048584
"135","ss600031",0.0012240894380926,0.00810166103485521
"211","ss600795",0.00111202940306709,0.00197516736478676
