"","Code","Yield","High"
"190","ss600115",0.0527113308806839,0.0527113308806839
"183","ss600188",0.0409620796760621,0.0409620796760621
"175","sz000938",0.0397197980374011,0.0397197980374011
"16","ss601360",0.0394041270367822,0.0403416057146968
"29","sz002558",0.0330763046809461,0.0330763046809461
"216","sz000627",0.0311132695660554,0.0311132695660554
"23","sz002607",0.0271055270552427,0.0307000160814572
"75","sz002252",0.0235728072614223,0.0250012483134625
"145","ss600362",0.0214829034042023,0.0245199813424517
"193","ss600118",0.0210306581653121,0.0725472047691793
"125","ss600570",0.0191214053143844,0.038817257107582
"189","sz000063",0.0183969596726266,0.0252404870259688
"128","ss600015",0.0182244428344749,0.0182244428344749
"14","ss601800",0.0180077697339975,0.0180077697339975
"201","sz000776",0.0165879874029411,0.0175237632727847
"198","ss600085",0.0161341266010513,0.0161341266010513
"227","ss600867",0.0160407606293846,0.0160407606293846
"74","ss601766",0.0153488684852481,0.0322802331978485
"153","ss600383",0.0146499823277049,0.0146499823277049
"231","ss600837",0.0144015901932508,0.0219018715247168
"70","ss601788",0.0143038694817292,0.0176576128888897
"27","sz002594",0.0137075748946061,0.0298237951042619
"169","ss600299",0.0132843368982347,0.0238434173867412
"42","ss601018",0.0130993339121361,0.0188776874398495
"235","ss600674",0.0120928551167359,0.0120928551167359
"222","ss600703",0.0119919376503757,0.0136192533932171
"72","ss601727",0.0115475148738293,0.0208735656981522
"79","ss601899",0.0107176146688488,0.0148132240028984
"132","ss600352",0.00975769833079343,0.0137639266573613
"195","sz000783",0.00947587678425887,0.0143734329786118
"52","sz002415",0.00922334778174694,0.0141960330497282
"13","ss601238",0.00900456633905411,0.0165756716259757
"207","ss600066",0.00820478476945086,0.0097508212660351
"63","ss600999",0.00778959491559927,0.0114037442856187
"123","sz000100",0.00761656201415861,0.029758059287772
"28","sz002555",0.00754217817551872,0.00984235181469417
"200","sz000728",0.00742231414779737,0.0163114371907289
"3","ss603019",0.00733826288640937,0.0127946130943186
"158","ss600369",0.00666825625665735,0.010330328514865
"118","ss600482",0.00641991212468263,0.00791064028101096
"184","ss600170",0.0061454144162334,0.00968819692390266
"61","ss601989",0.00614223039489059,0.0126279125283968
"54","sz300059",0.00593020450605963,0.00831060431699471
"121","sz002008",0.00564067952470171,0.00819541255212153
"238","ss600655",0.00533487169296087,0.00665753553205684
"202","sz000625",0.00518330671827605,0.00713711954310936
"214","sz000656",0.00516690993921198,0.00568832611897641
"152","ss600588",0.0050577497161024,0.00732629312281663
"36","sz300136",0.00484272824279475,0.00647587600963617
"77","sz002236",0.00476469670830815,0.0120248232823312
"172","ss600219",0.00476305503458652,0.00685599609835097
"41","sz300124",0.00475856628320748,0.00808004171958321
"71","ss601668",0.00460045915417862,0.00749579857753968
"221","ss600741",0.00459760191521741,0.0101873746429668
"236","ss600660",0.00457400637218197,0.00507499364499142
"99","ss601600",0.00450238302285189,0.00638430449407168
"230","ss601607",0.00407635539919271,0.00576417005339991
"55","sz002371",0.00368875524494561,0.00659155054757887
"208","sz000709",0.0036217706766648,0.00870412728255365
"68","ss601888",0.00350475590610166,0.00748815104474954
"38","ss600998",0.00348940735118108,0.00499943081944787
"43","sz002475",0.00346080458980125,0.00923214181326348
"20","ss601100",0.00340835405869577,0.00916399365904708
"234","ss600690",0.00332247014036802,0.00657560423404591
"1","sz002736",0.00326414733239089,0.00964519809249054
"170","sz000961",0.00320777792347293,0.00379567175973139
"203","sz000786",0.00301362526267646,0.00301362526267646
"137","ss600004",0.00295913936994641,0.0098264808610613
"15","ss601231",0.0027811661509265,0.00894004688719008
"156","ss600390",0.00268080268965631,0.00355922664048869
"204","ss600068",0.00265548068633237,0.00495550735361006
"191","ss600111",0.00253044637573496,0.0116500804825483
"51","sz002422",0.002464550144754,0.00565383855572121
"174","ss600000",0.0024575671602296,0.00428767737865487
"117","sz002024",0.00242099324161349,0.00242099324161349
"211","ss600795",0.00237662749122469,0.00610654049733017
"224","ss600893",0.00236383270703655,0.00963426702134718
"25","sz002602",0.00234556885161474,0.0032031587864414
"35","sz300142",0.0022651193728076,0.00357319045647619
"10","sz300347",0.00224355253490405,0.00470585291167191
"59","ss601117",0.00222133150738468,0.00368343330206833
"179","ss600177",0.00221457062710084,0.00661014891792533
"131","ss600489",0.00203065749944309,0.0039842064711233
"12","ss601012",0.002020791410279,0.00443871202777002
"39","ss601377",0.00191347682036058,0.00562481237577961
"239","ss600606",0.00179859739452293,0.01618040327049
"147","ss600519",0.00175462541106453,0.00393534693468123
"233","sz000538",0.00163229624615346,0.00294061416383884
"49","sz002456",0.00149372452182228,0.00471699201468101
"98","sz000338",0.00125728946671,0.00352802072330372
"187","ss600009",0.00118634139016405,0.00485655232854021
"129","ss600547",0.00108873144061139,0.00300317376407033
"111","ss601988",0.00108020943644727,0.00301740886442081
"45","sz002466",0.00103831775595009,0.00222777723275325
