"","Code","Yield","High"
"186","sz000876",0.112977391818477,0.112977391818477
"91","sz002157",0.0921164310100244,0.0921164310100244
"220","ss600745",0.0427730153858681,0.0427730153858681
"6","sz002714",0.0176852352376564,0.0176852352376564
"147","ss600519",0.0150812556569579,0.0150812556569579
"136","ss600436",0.014898889942788,0.014898889942788
"185","sz000858",0.0139310296703625,0.0139310296703625
"212","sz000661",0.0134809292086495,0.0134809292086495
"165","ss600276",0.0134481830932729,0.0134481830932729
"8","sz000333",0.0132698204441932,0.0132698204441932
"187","ss600009",0.0130244048444372,0.0130244048444372
"20","ss601100",0.0127206779386224,0.0127206779386224
"68","ss601888",0.0123841258028765,0.0123841258028765
"169","ss600299",0.0112422881148619,0.0374232901818128
"115","sz002032",0.00908845602401231,0.00908845602401231
"191","ss600111",0.0087842104607585,0.0165638815922862
"67","sz300015",0.00861242747377156,0.00861242747377156
"94","sz002142",0.008539414724827,0.008539414724827
"175","sz000938",0.00823569357421072,0.00823569357421072
"62","sz002311",0.00807865274903352,0.00807865274903352
"226","ss600886",0.00672697295899116,0.00672697295899116
"168","ss600233",0.00610130757897576,0.00719021770357409
"222","ss600703",0.00609902133497386,0.0100787979422923
"197","sz000768",0.0048707637416634,0.00836976309321669
"5","ss603288",0.00446201467462948,0.00449959846972536
"137","ss600004",0.00422676629317831,0.00830252819570254
"23","sz002607",0.00418843602827046,0.00418843602827046
"73","sz002271",0.00393425749549903,0.00393425749549903
"56","ss601688",0.00390491272140681,0.00422222870479838
"31","ss601216",0.0038788725087604,0.00626714575907394
"49","sz002456",0.00386933680619239,0.00551055059498617
"70","ss601788",0.00366689417226307,0.00973606111368452
"184","ss600170",0.0033443060317091,0.00443794133964182
"170","sz000961",0.00319368008370868,0.00450704389775947
"47","ss601818",0.0031088618967714,0.0031088618967714
"107","ss600018",0.00302234339716878,0.00482714832935693
"19","sz002624",0.00296081465728149,0.00716597600531244
"55","sz002371",0.00283818257026924,0.00473354138621351
"151","ss600372",0.00283310219167809,0.00464893073121941
"61","ss601989",0.00281097364243266,0.00564612397352904
"97","ss601328",0.00270864719186603,0.00320685623003936
"233","sz000538",0.00268231927217366,0.00268231927217366
"10","sz300347",0.00260041045629622,0.00260041045629622
"196","sz000066",0.00249483881767687,0.00249483881767687
"105","ss601628",0.00229070677898169,0.00230768004719328
"229","ss600848",0.00205504961769121,0.0107487407800602
"27","sz002594",0.00203269322922361,0.00203269322922361
"21","ss601669",0.00190572079252571,0.00303667962351195
"163","ss600019",0.00187249946802059,0.00493763156095928
"129","ss600547",0.00172467400510956,0.00355333462649443
"46","sz002463",0.00152117768375293,0.00152117768375293
"101","sz002129",0.00142687019448573,0.00312067317503928
"160","ss600398",0.00139408231952265,0.00139408231952265
"18","ss601555",0.00137705581697989,0.00146968588822705
"235","ss600674",0.00131691558001124,0.00204702139624713
"15","ss601231",0.00127450459678724,0.00142210884779725
"125","ss600570",0.00127324146883967,0.00137452855328624
"193","ss600118",0.00124356299970518,0.0058874056477507
"3","ss603019",0.00119675946939224,0.00448319124884566
"178","sz000895",0.00118565262908166,0.00118565262908166
"133","ss600029",0.00106713675193193,0.00586859127475825
"71","ss601668",0.000783499218188766,0.00223539063524725
"59","ss601117",0.00075094501485018,0.00075094501485018
"122","ss600438",0.000744502992357399,0.000744502992357399
"161","ss600016",0.000734519060285876,0.00200626438582141
"209","sz000703",0.000729620484672289,0.000729620484672289
"121","sz002008",0.000665297662423292,0.00252254267581153
"179","ss600177",0.00065675198427706,0.00117861363731131
"36","sz300136",0.000620363870425411,0.00104576673627954
"236","ss600660",0.000612219400409897,0.000612219400409897
"164","ss600297",0.000571169384598447,0.0054784634734899
"176","ss600208",0.000526813613235699,0.00191285133885843
"78","sz002230",0.000526298727184571,0.000929136640023698
"93","sz002146",0.000434580550482178,0.000434580550482178
"9","ss603993",0.00041941630401654,0.00241015824534019
"134","ss600271",0.000415602278482252,0.000415602278482252
"87","ss601088",0.000374057246353976,0.000374057246353976
"225","ss600887",0.000363378639846923,0.000576064792660924
"108","ss601111",0.000326990793820592,0.000326990793820592
"124","ss600340",0.000321329164912454,0.000321329164912454
"95","ss601009",0.000304228791339289,0.00159077767407356
"150","ss600028",0.000299008803243739,0.000464398623173601
"217","ss600760",0.000264766367733538,0.000264766367733538
"183","ss600188",0.00021169365898599,0.000256821933635631
"190","ss600115",0.000148671367999009,0.0022752686302514
"14","ss601800",0.000135303598645109,0.00317987098388839
"153","ss600383",0.000104734763512804,0.000104734763512804
"11","sz002673",8.52137124265351e-05,8.52137124265351e-05
"207","ss600066",6.23095674836538e-05,0.00141301087746237
"126","ss600900",4.47611486009691e-05,4.86149526246482e-05
"4","ss603369",0,0
"22","ss601633",0,0
"26","sz002601",0,0
"32","ss601933",0,0
"34","sz002508",0,0
"35","sz300142",0,0
"37","sz002493",0,0
"38","ss600998",0,0
