"","Code","Yield","High"
"34","sz002508",0.235597879217955,0.235597879217955
"13","ss601238",0.0578916268340997,0.0578916268340997
"160","ss600398",0.0336308016010207,0.0336308016010207
"115","sz002032",0.0237333500311387,0.0237333500311387
"28","sz002555",0.0185495236661126,0.0185495236661126
"225","ss600887",0.0164489686029163,0.0164489686029163
"144","ss600583",0.0161393284866769,0.0161393284866769
"16","ss601360",0.0144641825826635,0.0145607417201781
"101","sz002129",0.0140334458200573,0.0180123045408425
"67","sz300015",0.0138892484649091,0.0138892484649091
"113","sz002044",0.0138851209338311,0.0138851209338311
"142","ss600036",0.011974549489987,0.011974549489987
"86","sz002179",0.0118736011045104,0.0118736011045104
"184","ss600170",0.0110108491116836,0.0111560534291753
"17","ss601336",0.0108363493028412,0.0150038800934735
"141","ss600516",0.0106535625366158,0.0125454890196934
"74","ss601766",0.010641310342395,0.010641310342395
"231","ss600837",0.0105971796770108,0.0139001764902045
"1","sz002736",0.0105274672329891,0.0113445044928617
"83","ss601601",0.00984818193389714,0.0122684939635145
"214","sz000656",0.00979379746723841,0.0131855694538736
"61","ss601989",0.00840739468203111,0.00840739468203111
"63","ss600999",0.00830769759174887,0.00983144703864158
"237","ss600637",0.00718120680618584,0.00718120680618584
"8","sz000333",0.00697479906141263,0.00726804262036129
"57","sz002352",0.0067228077830499,0.0067228077830499
"207","ss600066",0.00668089916183701,0.00892177585880205
"164","ss600297",0.00661492324860102,0.00705644047097875
"108","ss601111",0.00603642522961989,0.0144170102253114
"96","ss601919",0.00588265541730371,0.0107140996143222
"69","ss601618",0.00542762960333132,0.00779630253542596
"171","sz000963",0.00515877746494109,0.00515877746494109
"226","ss600886",0.00510217154204362,0.00510217154204362
"120","sz002007",0.00480330935058415,0.00782043292781887
"80","ss601186",0.00475219557073303,0.0145212813561788
"44","sz002468",0.00459280911079674,0.00491555997002591
"31","ss601216",0.00452025892405095,0.00582285116502357
"234","ss600690",0.00450402300257147,0.00882349194918008
"42","ss601018",0.00439106675983991,0.00495329393648603
"85","ss601857",0.0043593708090206,0.00879333955009609
"105","ss601628",0.0043544114515357,0.00518964956505874
"190","ss600115",0.00421577692876296,0.00507110582853643
"168","ss600233",0.00359995624891862,0.00384032143887558
